year,month,day,researcher,site,shoot.id,sheath.length.cm,no.leaves,L1.length.cm,L1.lesion.present,L1.lesion.pc,L1.grazing.pc,L1.brokentip,L1.belowsheath,L2.length.cm,L2.lesion.present,L2.lesion.pc,L2.grazing.pc,L2.brokentip,L2.belowsheath,L3.length.cm,L3.lesion.present.visual,L3.lesion.pc.visual,L3.grazing.pc,L3.brokentip,L3.belowsheath,L4.length.cm,L4.lesion.present,L4.lesion.pc,L4.grazing.pc,L4.brokentip,L4.belowsheath,L5.length.cm,L5.lesion.present,L5.lesion.pc,L5.grazing.pc,L5.brokentip,L5.belowsheath,L6.length.cm,L6.lesion.present,L6.lesion.pc,L6.grazing.pc,L6.brokentip,L6.belowsheath,L7.length.cm,L7.lesion.present,L7.lesion.pc,L7.grazing.pc,L7.brokentip,L7.belowsheath,notes.visual.scoring,notes.scan.scoring
2017,may,15,JG,aquavitae,21,10,6,10,0,0,0,N,N,19,0,0,0,N,N,23,0,0,0,N,N,21.5,0,0,0.1,N,N,12.5,1,1,0,Y,Y,21,1,5,0,N,Y,NA,NA,NA,NA,NA,NA,L2- 1x Lacuna,.
2017,may,15,JG,aquavitae,22,10,6,4,0,0,0,N,N,18,1,1,0,N,N,26,1,0.1,0,N,N,22,1,5,0,N,N,21,1,10,1,N,Y,19,1,20,1,N,Y,NA,NA,NA,NA,NA,NA,"L4- 1x Lacuna, genetics sample",.
2017,may,15,JG,aquavitae,23,18.5,5,17,0,0,0,N,N,32,1,1,1,Y,N,24.5,0,0,1,Y,N,25.5,1,1,10,Y,N,35.5,1,1,1,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,JG,aquavitae,24,11,7,5,0,0,0,N,N,13,0,0,0,N,N,20.5,1,0.1,0,N,N,22,0,0,0,N,Y,24,1,0.1,1,N,Y,21,1,1,0,N,Y,23,1,1,5,N,Y,.,.
2017,may,15,JG,aquavitae,25,11.5,4,16,0,0,0,N,N,23.5,1,1,0,Y,N,28,0,0,0,N,N,25,1,10,0,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L4- 1x Lacuna,.
2017,may,15,JG,aquavitae,26,13.5,4,11,0,0,0,N,N,31.5,1,0.1,0,N,N,26.5,1,1,0.1,N,N,15.5,1,20,1,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,JG,aquavitae,27,10.5,6,3.5,0,0,0,N,N,18,0,0,0,N,N,28,1,1,0,N,N,28,1,1,0,N,N,25,0,0,0,N,Y,21.5,1,1,0,N,Y,NA,NA,NA,NA,NA,NA,.,.
2017,may,15,JG,aquavitae,28,11,5,16.5,1,1,0,N,N,28.5,1,10,0,N,N,28,1,10,1,N,N,25.5,1,50,20,N,Y,24,1,80,0.1,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L3- 1x Lacuna,.
2017,may,15,JG,aquavitae,29,9.5,4,13.5,1,10,0,N,N,22.5,0,0,0,N,N,25,0,0,1,N,N,25,0,0,0,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L4- 1x Lacuna,.
2017,may,15,JG,aquavitae,30,9,6,7.5,0,0,0,N,N,19.5,0,0,0,N,N,28,0,0,0,N,N,18,1,0.1,0,Y,N,7,1,1,0,Y,Y,11,1,10,0,N,Y,NA,NA,NA,NA,NA,NA,L3- 1x Lacuna,.
2017,may,15,JG,aquavitae,31,9.5,6,3,0,0,0,N,N,14,1,0.1,0,N,N,26,0,0,0,N,N,26.5,1,1,0,N,N,24.5,1,5,0,N,Y,23,1,1,0,N,Y,NA,NA,NA,NA,NA,NA,L4- 1x Lacuna,.
2017,may,15,JG,aquavitae,32,10.5,5,21,0,0,0,N,N,28,1,1,0,Y,N,28.5,0,0,0,N,N,28,0,0,0,N,N,21,1,0.1,0,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L4- 1x Lacuna; L5- Lacuna,.
2017,may,15,JG,aquavitae,33,17.5,6,1,0,0,0,N,N,11,0,0,0,N,N,19.5,0,0,0,N,N,24,0,0,0,N,N,21.5,0,0,0,N,Y,19,0,0,0,N,Y,NA,NA,NA,NA,NA,NA,L3- 1x Lacuna,.
