Site,Planting date,Sample date,Transect,Start meter,Diversity Treatment,Number of sites,Identity,Quadrat,Present?,Number of discs,Shoot density,Percent cover,Canopy ht,Reproductive shoots,Shoots per disc
Middle Ground,Fall,10/12/17,Pink (M),14,Mono,1,West,6,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Pink (M),21,Poly ,3,Poly 3,1,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Pink (M),21,Poly ,3,Poly 3,2,Yes,2,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Pink (M),21,Poly ,3,Poly 3,3,Yes,2,21,30,35,0,10.5
Middle Ground,Fall,10/12/17,Pink (M),21,Poly ,3,Poly 3,4,Yes,5,59,45,50,0,11.8
Middle Ground,Fall,10/12/17,Pink (M),21,Poly ,3,Poly 3,5,Yes,5,57,40,45,0,11.4
Middle Ground,Fall,10/12/17,Pink (M),21,Poly ,3,Poly 3,6,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Pink (M),28,Mono,1,West,1,Yes,4,33,25,50,0,8.25
Middle Ground,Fall,10/12/17,Pink (M),28,Mono,1,West,2,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Pink (M),28,Mono,1,West,3,Yes,5,47,40,50,0,9.4
Middle Ground,Fall,10/12/17,Pink (M),28,Mono,1,West,4,Yes,4,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Pink (M),28,Mono,1,West,5,Yes,4,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Pink (M),28,Mono,1,West,6,Yes,3,25,45,45,0,8.333333333
Middle Ground,Fall,10/12/17,Pink (M),35,Mono,1,Aquavitae,1,Yes,4,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Pink (M),35,Mono,1,Aquavitae,2,Yes,5,46,30,40,0,9.2
Middle Ground,Fall,10/12/17,Pink (M),35,Mono,1,Aquavitae,3,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Pink (M),35,Mono,1,Aquavitae,4,Yes,5,50,45,45,0,10
Middle Ground,Fall,10/12/17,Pink (M),35,Mono,1,Aquavitae,5,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Pink (M),35,Mono,1,Aquavitae,6,Yes,5,52,60,35,0,10.4
Middle Ground,Fall,10/12/17,Blue (S),0,Mono,1,Lynn,1,Yes,1,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),0,Mono,1,Lynn,2,Yes,1,14,5,40,0,14
Middle Ground,Fall,10/12/17,Blue (S),0,Mono,1,Lynn,3,Yes,5,61,65,35,0,12.2
Middle Ground,Fall,10/12/17,Blue (S),0,Mono,1,Lynn,4,Yes,2,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),0,Mono,1,Lynn,5,Yes,4,49,35,40,0,12.25
Middle Ground,Fall,10/12/17,Blue (S),0,Mono,1,Lynn,6,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),7,Poly ,3,Poly 3,1,Yes,3,34,30,65,0,11.33333333
Middle Ground,Fall,10/12/17,Blue (S),7,Poly ,3,Poly 3,2,Yes,4,52,60,35,0,13
Middle Ground,Fall,10/12/17,Blue (S),7,Poly ,3,Poly 3,3,Yes,3,29,20,55,0,9.666666667
Middle Ground,Fall,10/12/17,Blue (S),7,Poly ,3,Poly 3,4,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),7,Poly ,3,Poly 3,5,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),7,Poly ,3,Poly 3,6,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),14,Mono,1,Nahant,1,Yes,5,60,50,60,0,12
Middle Ground,Fall,10/12/17,Blue (S),14,Mono,1,Nahant,2,Yes,4,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),14,Mono,1,Nahant,3,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),14,Mono,1,Nahant,4,Yes,5,48,45,60,0,9.6
Middle Ground,Fall,10/12/17,Blue (S),14,Mono,1,Nahant,5,Yes,2,16,25,35,0,8
Middle Ground,Fall,10/12/17,Blue (S),14,Mono,1,Nahant,6,Yes,3,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),21,Mono,1,Lynn,1,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),21,Mono,1,Lynn,2,Yes,4,47,40,36,0,11.75
Middle Ground,Fall,10/12/17,Blue (S),21,Mono,1,Lynn,3,Yes,2,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Blue (S),21,Mono,1,Lynn,4,Yes,3,25,10,30,0,8.333333333
Middle Ground,Fall,10/12/17,Blue (S),21,Mono,1,Lynn,5,Yes,5,62,50,60,0,12.4
